Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-02 00:00:00+07:00,427.9938706897554,430.51148169381275,420.4410376775832,422.9586486816406,20140500,0.0,0.0
2000-10-03 00:00:00+07:00,422.9587062401108,425.4763175867781,397.7825927734375,397.7825927734375,40054000,0.0,0.0
2000-10-04 00:00:00+07:00,397.7825699344758,397.7825699344758,375.1240691154234,390.229736328125,71358500,0.0,0.0
2000-10-05 00:00:00+07:00,387.7121473867682,402.8178154667722,387.7121473867682,397.7825927734375,49498000,0.0,0.0
2000-10-06 00:00:00+07:00,397.7825699344758,397.7825699344758,385.1945139238911,390.229736328125,16229500,0.0,0.0
2000-10-09 00:00:00+07:00,390.22974683748964,390.22974683748964,372.60646794805467,380.1593017578125,36830500,0.0,0.0
2000-10-10 00:00:00+07:00,377.64166259765625,380.1592736816406,372.60644042968755,377.64166259765625,25483500,0.0,0.0
2000-10-11 00:00:00+07:00,375.124012538365,392.7472882952009,372.60640171595986,387.7120666503906,31377500,0.0,0.0
2000-10-12 00:00:00+07:00,387.7121225992839,397.78256734212243,385.1945114135742,392.7473449707031,43774000,0.0,0.0
2000-10-13 00:00:00+07:00,387.7121473867682,397.7825927734375,382.6769246934336,397.7825927734375,27924500,0.0,0.0
2000-10-16 00:00:00+07:00,397.7825927734375,397.7825927734375,397.7825927734375,397.7825927734375,0,0.0,0.0
2000-10-17 00:00:00+07:00,402.81774450231484,412.8881881148727,402.81774450231484,407.85296630859375,28053500,0.0,0.0
2000-10-18 00:00:00+07:00,407.8529708862305,407.8529708862305,397.7825271606446,402.8177490234375,24782000,0.0,0.0
2000-10-19 00:00:00+07:00,400.30013359917535,407.8529663085938,395.26491179289644,407.85296630859375,31849500,0.0,0.0
2000-10-20 00:00:00+07:00,415.4058036804199,415.4058036804199,390.2296943664551,402.8177490234375,36159500,0.0,0.0
2000-10-23 00:00:00+07:00,402.8177490234375,402.8177490234375,390.2296943664551,402.8177490234375,7006500,0.0,0.0
2000-10-24 00:00:00+07:00,402.8177490234375,402.8177490234375,390.2296943664551,402.8177490234375,600500,0.0,0.0
2000-10-25 00:00:00+07:00,402.8177490234375,402.8177490234375,402.8177490234375,402.8177490234375,0,0.0,0.0
2000-10-26 00:00:00+07:00,390.2296943664551,402.8177490234375,390.2296943664551,402.8177490234375,9708000,0.0,0.0
2000-10-27 00:00:00+07:00,402.8177490234375,402.8177490234375,402.8177490234375,402.8177490234375,0,0.0,0.0
2000-10-30 00:00:00+07:00,390.229736328125,390.229736328125,377.64168031754036,390.229736328125,9163500,0.0,0.0
2000-10-31 00:00:00+07:00,377.64168031754036,390.229736328125,377.64168031754036,390.229736328125,2331000,0.0,0.0
2000-11-01 00:00:00+07:00,390.229736328125,390.229736328125,377.64168031754036,390.229736328125,9665500,0.0,0.0
2000-11-02 00:00:00+07:00,390.229736328125,390.229736328125,377.64168031754036,390.229736328125,2991500,0.0,0.0
2000-11-03 00:00:00+07:00,390.229736328125,390.229736328125,377.64168031754036,390.229736328125,1076000,0.0,0.0
2000-11-06 00:00:00+07:00,390.2296943664551,402.8177490234375,377.64163970947266,402.8177490234375,9445000,0.0,0.0
2000-11-07 00:00:00+07:00,402.8177490234375,402.8177490234375,390.2296943664551,402.8177490234375,3554500,0.0,0.0
2000-11-08 00:00:00+07:00,402.8177490234375,415.4058036804199,390.2296943664551,402.8177490234375,41200500,0.0,0.0
2000-11-09 00:00:00+07:00,402.8177490234375,415.4058036804199,390.2296943664551,402.8177490234375,8126000,0.0,0.0
2000-11-10 00:00:00+07:00,390.22962627988875,427.99378366181344,390.22962627988875,415.4057312011719,31244000,0.0,0.0
2000-11-13 00:00:00+07:00,415.4057312011719,427.99378366181344,402.8176787405303,415.4057312011719,26315000,0.0,0.0
2000-11-14 00:00:00+07:00,415.4057312011719,427.99378366181344,415.4057312011719,415.4057312011719,46632500,0.0,0.0
2000-11-15 00:00:00+07:00,415.4057312011719,427.99378366181344,390.22962627988875,415.4057312011719,38068500,0.0,0.0
2000-11-16 00:00:00+07:00,402.8177490234375,402.8177490234375,390.2296943664551,402.8177490234375,7991000,0.0,0.0
2000-11-17 00:00:00+07:00,402.8177490234375,402.8177490234375,390.2296943664551,402.8177490234375,6194500,0.0,0.0
2000-11-20 00:00:00+07:00,402.8177490234375,402.8177490234375,402.8177490234375,402.8177490234375,7300500,0.0,0.0
2000-11-21 00:00:00+07:00,402.8176787405303,415.4057312011719,390.22962627988875,415.4057312011719,4235000,0.0,0.0
2000-11-22 00:00:00+07:00,402.8176787405303,415.4057312011719,402.8176787405303,415.4057312011719,3692500,0.0,0.0
2000-11-23 00:00:00+07:00,415.40585763113836,440.58197021484375,415.40585763113836,440.58197021484375,62417000,0.0,0.0
2000-11-24 00:00:00+07:00,440.58197021484375,440.58197021484375,427.99391392299106,440.58197021484375,21505000,0.0,0.0
2000-11-27 00:00:00+07:00,427.9938659667969,427.9938659667969,415.4058110854205,427.9938659667969,4441000,0.0,0.0
2000-11-28 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,14324500,0.0,0.0
2000-11-29 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,2123000,0.0,0.0
2000-11-30 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,4072500,0.0,0.0
2000-12-01 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,930000,0.0,0.0
2000-12-04 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,10685000,0.0,0.0
2000-12-05 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,439500,0.0,0.0
2000-12-06 00:00:00+07:00,415.4057312011719,415.4057312011719,402.8176787405303,415.4057312011719,5576500,0.0,0.0
2000-12-07 00:00:00+07:00,415.4058110854205,427.9938659667969,402.81775620404414,427.9938659667969,14802000,0.0,0.0
